created_at,text,entities__hashtags__text,entities__hashtags__text,
Wed Nov 04 21:51:52 +0000 2015,"Anyone down to visit London, marathon all the Harry Potter movies then end it with the new ""Cursed Child"" play?",,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:52 +0000 2015,"@BLOODHOUND_SSC ""Thank you 4 the Follow!""",,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:52 +0000 2015,"I have the funniest lawsuit on my ass for $120,000",,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:53 +0000 2015,@collxkelly hey i just wanted to say im 2 wks clean I started watching ur videos on youtube & they make me forget about the bad things! Ty ❤,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:53 +0000 2015,Savage ass 😂,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:54 +0000 2015,"#CareerArc #Transportation #Job alert: Driver Helper | UPS | #LACRESCENTA, CA https://t.co/IPOIqRKuCM #Jobs #Hiring",CareerArc,,
,,Transportation,,
,,Job,,
,,LACRESCENTA,,
,,Jobs,,
,,Hiring,,
Wed Nov 04 21:51:55 +0000 2015,"I'm about ready to #Periscope a #coversong rehearsal session. About 45 minutes /10 songs or so, starting.....Now!",Periscope,,
,,coversong,,
,,,,
,,,,
Wed Nov 04 21:51:56 +0000 2015,@fitcanadianbabe hello,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:57 +0000 2015,あ~ だり,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:58 +0000 2015,@KhaosMuffins I guess I'm a dumb dumb then. It's a combination of the demo not giving me a good impression and the fandom,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:58 +0000 2015,@Luvina_things i am hysterically crying cause we are in the same city,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:52:00 +0000 2015,I like this. I like this a lot. https://t.co/6JnF5R7o0M,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:52:03 +0000 2015,Thank god for my sister,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:52:07 +0000 2015,Harry's laugh is literally the most beautiful sound ever  #UKVOTY1D #AMAs1D  https://t.co/dPHzZuL5BB,UKVOTY1D,,
,,AMAs1D,,
,,,,
,,,,
Wed Nov 04 21:52:08 +0000 2015,LMAO  https://t.co/JzCrsFPBCh,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:52:08 +0000 2015,"She just put a pic wit her nigga, up.... In the same minute , that's when she shit me up",,,
,,,,
,,,,
,,,,
Wed Nov 04 21:52:11 +0000 2015,🤑,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:52:12 +0000 2015,@Carolineoncrack @ardbeg booze mail would be the best. #WeCanDream,WeCanDream,,
,,,,
,,,,
,,,,
Wed Nov 04 21:52:12 +0000 2015,TELainka llama a Adele (Parte 3) https://t.co/LKXd8cyJcH,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:52:13 +0000 2015,@MapleLeafs https://t.co/yMFINSnPCZ,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:52:13 +0000 2015,"@mmgaggle I'm good, I'm using Lynx",,,
,,,,
,,,,
,,,,
Wed Nov 04 21:52:13 +0000 2015,Ring ding dong,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:52:13 +0000 2015,Not listening to a thing my professor is saying because my brain can't handle anymore information at this point,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:52:14 +0000 2015,https://t.co/qCGH2rilLt,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:52:15 +0000 2015,Absolutely https://t.co/IS53FmhGbp,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:52:15 +0000 2015,"Join the Office Depot team! See our latest #job opening here: https://t.co/XymxoxyyPq #Hollywood, CA #Veterans #Hiring #CareerArc",job,,
,,Hollywood,,
,,Veterans,,
,,Hiring,,
,,CareerArc,,
