created_at	text	user__location	entities__hashtags__text		entities__hashtags__text			
Mon Nov 02 22:49:05 +0000 2015	I WANT THE WHOLE VIDEO ?? https://t.co/BWBifwt29f	null						
								
								
								
								
Mon Nov 02 22:49:08 +0000 2015	I'm just wanting to pass high school  and leave for college already	"jax, fl"						
								
								
								
Mon Nov 02 22:49:09 +0000 2015	"I had a ball, bending the rules and breaking the law ??"	null						
								
								
								
Mon Nov 02 22:49:09 +0000 2015	All dysfunctional leadership begins with a good intention  #learning2015	null	learning2015					
								
								
								
Mon Nov 02 22:49:10 +0000 2015	Artist Rachel Goldsmith Takes 3Doodler 3D Printing Pen to New Le... https://t.co/SGVXIeU6Hl (via juice.li) https://t.co/v7F6isVnlE	null						
								
								
								
Mon Nov 02 22:49:11 +0000 2015	@la_patilla good	null						
								
								
								
Mon Nov 02 22:49:12 +0000 2015	@PappiChuloGiles ?????	null						
								
								
								
Mon Nov 02 22:49:13 +0000 2015	Thank you baby ?? https://t.co/kJheBS7hoo	Killadelphia						
								
								
								
Mon Nov 02 22:49:14 +0000 2015	Day 14 of Seinfeld. Season 6. Episodes 94 -  99.	Tomorrowland						
								
								
								
Mon Nov 02 22:49:14 +0000 2015	Hoy en @CALA el merenguero dominicano @SergioVargas15 y su historia. 9pm ET	null						
								
								
								
Mon Nov 02 22:49:15 +0000 2015	@Wale my g you gonna let @MeekMill speak about you like that man. I like you both but wale will wash you meek. You think Drake fucked u up?	null						
								
								
								
Mon Nov 02 22:49:15 +0000 2015	I found my paradise when you look me in the eyes	null						
								
								
								
Mon Nov 02 22:49:15 +0000 2015	"""...if you don't believe in you, God does"" nos enseña @JohnCMaxwell en una hora de lujo muy pronto X @CNNEE https://t.co/gd2saotGP8"	"Miami, USA and the world "						
								
								
								
Mon Nov 02 22:49:17 +0000 2015	"@Target does too, boo. Wouldn't want to miss out on their followers.  @ImNoCook @Publix @WinnDixie"	"Jacksonville, FL"						
								
								
								
Mon Nov 02 22:49:19 +0000 2015	????????? https://t.co/WYylYyQ2XT	"tallahassee ,fl"						
								
								
								
								
								
Mon Nov 02 22:49:21 +0000 2015	Crystal complains so much	null						
								
								
								
Mon Nov 02 22:49:23 +0000 2015	We don't want bottoms anyway.. bye girl!  https://t.co/jk0Q838o0Q	The Bahamas 						
								
								
								
Mon Nov 02 22:49:23 +0000 2015	"current weather in Miami: partly cloudy, 83°F 72% humidity, wind 9mph, visibility 10mi, pressure 29.96in steady"	"Miami, FL"						
								
								
								
Mon Nov 02 22:49:23 +0000 2015	Amazon Expands Its Prime Now Restaurant Delivery Service To Portland https://t.co/KpikuZehkq (via juice.li) https://t.co/TEoM46JQeg	null						
								
								
								
Mon Nov 02 22:49:24 +0000 2015	?? https://t.co/8tmkKyStnl	null						
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
Mon Nov 02 22:49:26 +0000 2015	Thank you for being you xo @ Crystal Palace https://t.co/xmA3NQl7Aw	null						
								
								
								
Mon Nov 02 22:49:27 +0000 2015	Love how when two girls mutually don't like the same girl they instantly become best friends??	Polk Grown Af						
								
								
								
Mon Nov 02 22:49:28 +0000 2015	i run out of tp alot yo. https://t.co/C2dIFS6HzZ	the 6						
								
								
								
Mon Nov 02 22:49:28 +0000 2015	My ace videographer @theyoungmaxwell & I just down the big drop on Splash Mountain Disney World #work #swagwitswider https://t.co/kxhK85vegD	"Los Angeles, CA"	work					
			swagwitswider					
								
								
Mon Nov 02 22:49:30 +0000 2015	"@PhimosisJourney #Shortskin is a film that brings up the topic of phimosis, but in a sweet coming of age story! https://t.co/RG7ZSlQ8rt"	null	Shortskin					
								
								
								
Mon Nov 02 22:49:30 +0000 2015	If you love somebody you try and make an effort to love the things they love.	Fl						
								
								
								
Mon Nov 02 22:49:31 +0000 2015	don't you love when your best friend ignores you all day	null						
								
								
								
Mon Nov 02 22:49:31 +0000 2015	@DarcyCarnforth @MarionSpekker Hola como estas amiga	"Florida, USA"						
								
								
								
Mon Nov 02 22:49:31 +0000 2015	Feelin myself today https://t.co/xZkeHuq1W7	null						
								
								
								
Mon Nov 02 22:49:34 +0000 2015	Getty Images Lean In Collection Empowers Equality https://t.co/g718ase2f4 (via juice.li) https://t.co/NzHeBuHNqU	null						
								
								
								
Mon Nov 02 22:49:38 +0000 2015	Thank you my love you know it's the same on this side ???? https://t.co/43YuVHXSvj	Killadelphia						
								
								
								
Mon Nov 02 22:49:41 +0000 2015	I may be mad at you but I miss you like crazy	"Naples, FL"						
								
								
								
Mon Nov 02 22:49:42 +0000 2015	Loving florida way too much... Don't wanna go home ???? #chipanddale @… https://t.co/32flOPV5Jg	snapchat: shanicemc07	chipanddale					
								
								
								
