created_at,text,entities__hashtags__text,entities__hashtags__text,
Mon Nov 09 21:13:40 +0000 2015,"Can you recommend anyone for this #job? Residential Sales Representative - https://t.co/iHeYN7f2GX #Miami, FL https://t.co/5aR3qle5Ah",job,,
,,Miami,,
,,,,
,,,,
Mon Nov 09 21:13:45 +0000 2015,"@tvkatesnow @Sarahdallof MSNBC/COMCAST has become down right unwatchable,Kate is not working for me.bring back,KarenF.Joy.R.MartinB.Kieth O",,,
,,,,
,,,,
,,,,
Mon Nov 09 21:13:46 +0000 2015,you act different when something's bothering you,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:13:46 +0000 2015,Because one way you said it means scary and the other way means cutem,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:13:46 +0000 2015,Nothing makes my heart happier then  this! 😍 https://t.co/7RZOT2nbcW,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:13:48 +0000 2015,#bendj is brinding you the freshest #house #music tonight on And The Beat… https://t.co/heNHnehPfY,bendj,,
,,house,,
,,music,,
,,,,
Mon Nov 09 21:13:50 +0000 2015,I gas up every fucking day,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:13:52 +0000 2015,I'm so weird it's crazy,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:13:52 +0000 2015,@gavs_yo smack him w it lol,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:13:53 +0000 2015,Free unlimited food. Good food. FANCY food. I'm in heaven,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:13:54 +0000 2015,@GermanXeneize_ Como tu burra mami,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:13:55 +0000 2015,@KiddRyze next year Gonna be better. Thinking bout a ps4 doe,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:13:56 +0000 2015,Today went well! Thanks to all the doctors. They were so nice and to the… https://t.co/0HUVGiTPb8,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:14:05 +0000 2015,One of a flock of ten magnificent frigatebirds visiting #CocoaBeach #Florida this afternoon. https://t.co/0LaRKSWvMO,CocoaBeach,,
,,Florida,,
,,,,
,,,,
Mon Nov 09 21:14:06 +0000 2015,Keep driving hoe.,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:14:08 +0000 2015,@AmourNoir_ hit the 🚬 2X then go take  nap... After that let me know how you feel 😏,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:14:09 +0000 2015,Don't say that. Try harder! https://t.co/ZKh95qKzi3,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:14:14 +0000 2015,So I got to play today with some FUN color! I wish I had more clients… https://t.co/1PLqmui3tY,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:14:18 +0000 2015,Nothing can compare to the amount of happiness this brings me! 😍 https://t.co/7RZOT2nbcW,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:14:18 +0000 2015,"I want one so bad, some one buy me one https://t.co/CuTI2LrHke",,,
,,,,
,,,,
,,,,
Mon Nov 09 21:14:19 +0000 2015,@RQA Not at this meeting...,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:14:20 +0000 2015,"""I'm never going back to crazy park"" goes to crazy park 😳 https://t.co/9lBmZM6fpo",,,
,,,,
,,,,
,,,,
Mon Nov 09 21:14:21 +0000 2015,Why is it I can ask a group of like 5 or 6 crew people what is going on and not one can deliver me an answer. 😑,,,
,,,,
,,,,
,,,,
